epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4466.73,2.38974,2.42789,1.14357,0.57324,0.02608,0.01541,0.0054,3.54892,2.94387,1.36377,0.000266532,0.000266532,0.000266532
68,4516.14,2.39431,2.43293,1.15008,0.57255,0.02675,0.01528,0.00511,3.55426,2.91139,1.35726,0.000253024,0.000253024,0.000253024
69,4565.75,2.4216,2.43971,1.13752,0.57814,0.02601,0.01639,0.00561,3.5567,2.91893,1.37591,0.000239766,0.000239766,0.000239766
70,4615.69,2.39354,2.46001,1.14311,0.57376,0.02517,0.01477,0.00505,3.55372,2.9079,1.35158,0.000226769,0.000226769,0.000226769
71,4666.77,2.4226,2.45465,1.15397,0.57754,0.02546,0.0158,0.00537,3.56272,2.87248,1.35667,0.000214046,0.000214046,0.000214046
72,4717.31,2.37947,2.40004,1.14202,0.57181,0.02552,0.01513,0.00522,3.56088,2.90377,1.37453,0.000201611,0.000201611,0.000201611
73,4766.95,2.37709,2.4076,1.14458,0.57349,0.02318,0.01454,0.00473,3.55887,2.94643,1.38574,0.000189475,0.000189475,0.000189475
74,4813.67,2.35763,2.4078,1.15009,0.57666,0.02658,0.01544,0.00537,3.55033,2.89325,1.37753,0.000177651,0.000177651,0.000177651
75,4863.53,2.36974,2.38303,1.13557,0.56894,0.02672,0.01471,0.0053,3.5456,2.89612,1.36438,0.000166149,0.000166149,0.000166149
76,4914.07,2.39075,2.39821,1.13484,0.57209,0.02555,0.015,0.00533,3.54514,2.90836,1.36739,0.000154982,0.000154982,0.000154982
77,4961.49,2.37876,2.38602,1.13107,0.57039,0.02514,0.01482,0.0053,3.55091,2.89735,1.35794,0.000144161,0.000144161,0.000144161
78,5011.38,2.35412,2.38671,1.13955,0.57507,0.02545,0.0152,0.00518,3.55252,2.90671,1.36462,0.000133695,0.000133695,0.000133695
79,5057.98,2.37653,2.39846,1.13724,0.58181,0.02353,0.01562,0.00541,3.54014,2.89257,1.36483,0.000123596,0.000123596,0.000123596
80,5135.46,2.39083,2.41862,1.14193,0.56871,0.02413,0.01444,0.0053,3.5498,2.91431,1.36306,0.000113873,0.000113873,0.000113873
81,5179.08,2.3708,2.39319,1.14151,0.57355,0.02457,0.01557,0.00545,3.55309,2.90271,1.35992,0.000104537,0.000104537,0.000104537
82,5225.15,2.35018,2.34809,1.12533,0.57596,0.02399,0.01528,0.00554,3.54988,2.91798,1.38692,9.55951e-05,9.55951e-05,9.55951e-05
83,5269,2.37444,2.3783,1.13698,0.57066,0.02439,0.01515,0.00571,3.56158,2.90495,1.38164,8.70577e-05,8.70577e-05,8.70577e-05
84,5316.39,2.36211,2.39271,1.13444,0.57134,0.02494,0.01532,0.00573,3.55332,2.91754,1.37713,7.89327e-05,7.89327e-05,7.89327e-05
85,5366.11,2.36857,2.37554,1.13024,0.57072,0.02452,0.01488,0.00531,3.54873,2.91858,1.38474,7.12282e-05,7.12282e-05,7.12282e-05
86,5412.85,2.33668,2.3635,1.13742,0.57275,0.02467,0.01537,0.00538,3.54095,2.8992,1.37436,6.39518e-05,6.39518e-05,6.39518e-05
87,5460,2.34288,2.35612,1.13595,0.57369,0.02458,0.0152,0.0054,3.54737,2.91065,1.38914,5.71106e-05,5.71106e-05,5.71106e-05
88,5508.89,2.34497,2.35017,1.13451,0.5716,0.02562,0.01506,0.00528,3.55076,2.90194,1.38261,5.07115e-05,5.07115e-05,5.07115e-05
89,5558.81,2.35687,2.36781,1.13671,0.57452,0.02523,0.01543,0.00537,3.54835,2.9108,1.37919,4.47606e-05,4.47606e-05,4.47606e-05
90,5608.61,2.35264,2.37371,1.13066,0.57544,0.02487,0.01507,0.00529,3.54641,2.90118,1.37755,3.9264e-05,3.9264e-05,3.9264e-05
91,5657.86,2.93166,2.83315,1.33264,0.56869,0.02222,0.01275,0.00445,3.57816,2.96085,1.42955,3.4227e-05,3.4227e-05,3.4227e-05
92,5705.51,2.88348,2.75422,1.28557,0.57166,0.02378,0.01389,0.00477,3.57366,2.94808,1.42302,2.96546e-05,2.96546e-05,2.96546e-05
93,5754.46,2.88927,2.77042,1.29725,0.57382,0.02395,0.0146,0.00507,3.57136,2.9405,1.42681,2.55513e-05,2.55513e-05,2.55513e-05
94,5794.26,2.89254,2.70139,1.29573,0.571,0.02389,0.01437,0.00508,3.57081,2.93207,1.42665,2.19212e-05,2.19212e-05,2.19212e-05
95,5844.79,2.86241,2.73721,1.3025,0.57292,0.025,0.01523,0.00568,3.5635,2.92807,1.42206,1.87678e-05,1.87678e-05,1.87678e-05
96,5894.19,2.87964,2.7372,1.31853,0.57447,0.02494,0.01551,0.00581,3.5636,2.9201,1.41794,1.60943e-05,1.60943e-05,1.60943e-05
97,5939.58,2.86929,2.69732,1.28826,0.57329,0.0258,0.01571,0.00579,3.56087,2.91773,1.41818,1.39032e-05,1.39032e-05,1.39032e-05
98,5986.6,2.88,2.71877,1.29726,0.57404,0.02567,0.01585,0.00588,3.5552,2.91109,1.41136,1.21968e-05,1.21968e-05,1.21968e-05
99,6033.23,2.85503,2.69505,1.29306,0.57451,0.02589,0.01598,0.00596,3.55051,2.90815,1.40933,1.09768e-05,1.09768e-05,1.09768e-05
100,6080.66,2.86008,2.73081,1.29762,0.57321,0.02575,0.01529,0.00542,3.55635,2.91428,1.41742,1.02443e-05,1.02443e-05,1.02443e-05
