epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,15582.4,1.31773,1.98067,1.03443,1.10657,0,0.55022,0.4922,0.52793,0.26864,0.57333,0.43409,0.47374,0.19661,1.54995,2.45642,1.273,1.27794,0,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,15781.1,1.30644,1.97681,1.03799,1.10223,0,0.55673,0.49066,0.5296,0.26877,0.52438,0.44884,0.47379,0.196,1.55088,2.4588,1.27282,1.27839,0,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,15979.5,1.30771,1.94238,1.05527,1.10098,0,0.4988,0.54602,0.53139,0.26943,0.52483,0.45341,0.47466,0.19586,1.55167,2.46185,1.27242,1.27867,0,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,16177.5,1.29814,1.97253,1.00143,1.09771,0,0.49641,0.55044,0.53468,0.2708,0.48932,0.48671,0.47741,0.19677,1.55253,2.46511,1.271,1.27933,0,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,16377.4,1.29089,1.952,1.00744,1.08973,0,0.50952,0.54253,0.5346,0.2705,0.47895,0.49399,0.47833,0.19715,1.55383,2.46778,1.26998,1.27989,0,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,16577.1,1.2861,1.94879,0.9988,1.08962,0,0.51987,0.53953,0.53513,0.271,0.48994,0.48512,0.48039,0.19735,1.55577,2.47084,1.2687,1.28057,0,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,16779.7,1.28201,1.9413,0.98563,1.09112,0,0.51913,0.54154,0.5378,0.27122,0.49245,0.48747,0.48287,0.19879,1.55723,2.47318,1.26785,1.28136,0,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,16980.4,1.27128,1.91475,0.97021,1.09518,0,0.52648,0.54038,0.54089,0.27219,0.48378,0.50183,0.48589,0.1995,1.55783,2.4751,1.26731,1.2818,0,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,17181.3,1.26805,1.90498,0.96968,1.08645,0,0.53311,0.53604,0.54441,0.27415,0.48835,0.49541,0.48827,0.19945,1.55847,2.47719,1.26731,1.28194,0,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,17381.1,1.26998,1.91583,0.96437,1.08445,0,0.54248,0.53098,0.54444,0.27367,0.49933,0.48886,0.48654,0.1993,1.55949,2.47985,1.26768,1.28248,0,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
