epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,12049.7,1.9833,2.30106,1.52618,0.56053,0.02389,0.01259,0.00358,3.90465,3.05864,1.29043,0.00692991,0.00692991,0.00692991
96,12168.6,1.98796,2.30305,1.52301,0.56025,0.02376,0.01333,0.00362,3.90369,3.05858,1.27411,0.00687222,0.00687222,0.00687222
97,12287.3,1.97088,2.30612,1.5277,0.56111,0.02461,0.01363,0.00365,3.91796,3.04084,1.2702,0.00681424,0.00681424,0.00681424
98,12410.1,1.96656,2.29372,1.52189,0.56425,0.02419,0.01428,0.00384,3.91676,3.04803,1.26818,0.00675598,0.00675598,0.00675598
99,12531.1,1.98002,2.29856,1.52384,0.5592,0.02476,0.01371,0.00389,3.91444,3.06624,1.27804,0.00669746,0.00669746,0.00669746
100,13853,1.97613,2.30014,1.52235,0.56169,0.02514,0.01379,0.00353,3.93425,3.04432,1.26875,0.00663867,0.00663867,0.00663867
101,13977.5,1.987,2.28666,1.52275,0.56042,0.02447,0.01421,0.0041,3.89889,3.04751,1.2693,0.00657963,0.00657963,0.00657963
102,14105.4,1.97845,2.29076,1.5204,0.55779,0.02344,0.01324,0.00387,3.89291,3.04495,1.27386,0.00652036,0.00652036,0.00652036
103,14230.1,1.97023,2.27249,1.51769,0.55781,0.02312,0.01291,0.00353,3.89532,3.03771,1.27067,0.00646085,0.00646085,0.00646085
104,14355.5,1.97856,2.28305,1.52778,0.55487,0.022,0.01322,0.00398,3.89357,3.03644,1.273,0.00640111,0.00640111,0.00640111
105,14480.7,1.97664,2.28589,1.51984,0.55402,0.02294,0.01295,0.00377,3.8753,3.04279,1.2817,0.00634117,0.00634117,0.00634117
106,14607.5,1.9695,2.25459,1.51832,0.30694,0.02384,0.0133,0.00376,3.86902,3.04917,1.28642,0.00628101,0.00628101,0.00628101
107,14731.3,1.95099,2.25204,1.51326,0.55551,0.02341,0.01332,0.00367,3.8701,3.05939,1.28338,0.00622067,0.00622067,0.00622067
108,14855.9,1.96971,2.25467,1.50966,0.55497,0.02315,0.0127,0.00337,3.91929,3.0501,1.26793,0.00616014,0.00616014,0.00616014
109,14981.3,1.95088,2.25862,1.51255,0.30458,0.0228,0.01265,0.00353,3.92087,3.04795,1.27275,0.00609944,0.00609944,0.00609944
110,15103.3,1.97012,2.26999,1.51593,0.55221,0.02401,0.0129,0.00365,3.9264,3.04039,1.27612,0.00603856,0.00603856,0.00603856
111,15223.1,1.97801,2.2648,1.51431,0.30118,0.02407,0.01302,0.00375,3.9186,3.0377,1.27034,0.00597754,0.00597754,0.00597754
112,15348.7,1.95874,2.25006,1.50985,0.0521,0.02335,0.01221,0.00362,3.92311,3.03641,1.26932,0.00591636,0.00591636,0.00591636
113,15474,1.96842,2.25399,1.51338,0.30388,0.02269,0.01241,0.00355,3.91719,3.03511,1.27016,0.00585505,0.00585505,0.00585505
114,15599.7,1.95374,2.22849,1.50326,0.55932,0.02326,0.01366,0.00383,3.92185,3.03301,1.26725,0.00579362,0.00579362,0.00579362
115,15720.2,1.95192,2.24043,1.50333,0.05972,0.02428,0.01395,0.00389,3.93907,3.02833,1.26165,0.00573206,0.00573206,0.00573206
116,15841.9,1.93614,2.22535,1.5095,0.56245,0.02391,0.01371,0.00375,3.9435,3.02353,1.2612,0.0056704,0.0056704,0.0056704
117,15963.9,1.95243,2.23188,1.51002,0.31036,0.02364,0.01335,0.00375,3.93942,3.02322,1.26045,0.00560864,0.00560864,0.00560864
118,16088.2,1.95018,2.22686,1.51014,0.31073,0.02399,0.01319,0.00351,3.93786,3.02212,1.26003,0.00554679,0.00554679,0.00554679
119,16212.2,1.94856,2.22328,1.50819,0.06136,0.02382,0.01323,0.00346,3.94308,3.02156,1.26012,0.00548486,0.00548486,0.00548486
120,16338.1,1.94049,2.21688,1.50364,0.06003,0.02349,0.01308,0.00337,3.95131,3.02265,1.26291,0.00542287,0.00542287,0.00542287
121,16465.3,1.92803,2.21116,1.50397,0.31213,0.02321,0.01313,0.00338,3.9552,3.02267,1.26532,0.00536081,0.00536081,0.00536081
122,16591.1,1.95309,2.20729,1.50219,0.56242,0.02358,0.01402,0.00373,3.9491,3.01841,1.26778,0.00529871,0.00529871,0.00529871
123,16714.6,1.94317,2.20255,1.50487,0.30841,0.02323,0.01329,0.00373,3.93361,3.02479,1.27787,0.00523657,0.00523657,0.00523657
124,16839.1,1.92815,2.19466,1.4981,0.30617,0.02315,0.01353,0.00395,3.91727,3.03221,1.27954,0.00517439,0.00517439,0.00517439
125,16960.7,1.94766,2.20556,1.50418,0.30577,0.02382,0.01343,0.00396,3.90202,3.03251,1.28469,0.0051122,0.0051122,0.0051122
126,17084.9,1.92592,2.19537,1.5018,0.55501,0.02383,0.01338,0.00393,3.8993,3.03339,1.29116,0.00505,0.00505,0.00505
127,17207.7,1.92873,2.18394,1.48923,0.55463,0.02329,0.01325,0.00391,3.89889,3.03653,1.28701,0.0049878,0.0049878,0.0049878
128,17331.3,1.9331,2.1878,1.5005,0.55525,0.0234,0.01329,0.00382,3.89902,3.03719,1.29154,0.00492561,0.00492561,0.00492561
